model,sample_size,mean_ms,p50_ms,p95_ms,min_ms,max_ms,std_ms,ns_per_step,checksum,interventions,age_brackets,genders,oud_behaviors,semantic_state_points,state_size,steps,warmup,repetitions
v2,5,0.008,0.007,0.017,0.006,0.017,0.003,162.9,0.0000,13,1,1,4,52,52,52,5,3
v2,25,0.009,0.007,0.016,0.005,0.031,0.004,167.0,0.0000,13,1,1,4,52,52,52,5,3
v2,50,0.008,0.006,0.017,0.005,0.032,0.004,158.2,0.0000,13,1,1,4,52,52,52,5,3
v2,100,0.008,0.006,0.017,0.004,0.036,0.004,161.2,0.0000,13,1,1,4,52,52,52,5,3
v2,200,0.008,0.006,0.015,0.004,0.035,0.004,149.0,0.0000,13,1,1,4,52,52,52,5,3
v2,400,0.007,0.005,0.012,0.004,0.115,0.005,133.6,0.0000,13,1,1,4,52,52,52,5,3
