model,scope,phase,sample_size,mean_job_ms,p50_job_ms,p95_job_ms,min_job_ms,max_job_ms,std_job_ms,mean_sample_ms,ns_per_step_per_sample,checksum,interventions,age_brackets,genders,oud_behaviors,steps,warmup,repetitions
v1,cold_start,setup,1,3754.811789,3754.811789,3754.811789,3754.811789,3754.811789,0.000000,3754.811789,72207919.02,NaN,13,1,1,4,52,3,3
v1,cold_start,combined,1,6026.593845,6026.593845,6026.593845,6026.593845,6026.593845,0.000000,6026.593845,115896035.48,667550.771836,13,1,1,4,52,3,3
v1,cold_start,load,1,314.450887,314.450887,314.450887,314.450887,314.450887,0.000000,314.450887,6047132.44,667550.771836,13,1,1,4,52,3,3
v1,cold_start,run,1,0.488327,0.488327,0.488327,0.488327,0.488327,0.000000,0.488327,9390.90,667550.771836,13,1,1,4,52,3,3
v1,cold_start,write,1,2.079064,2.079064,2.079064,2.079064,2.079064,0.000000,2.079064,39982.00,667550.771836,13,1,1,4,52,3,3
v1,steady_state,combined,1,5893.245409,5952.489086,6039.546252,5687.700889,6039.546252,183.251602,5893.245409,113331642.48,667550.771836,13,1,1,4,52,3,3
v1,steady_state,load,1,247.202635,247.111447,247.628777,246.867680,247.628777,0.388656,247.202635,4753896.82,667550.771836,13,1,1,4,52,3,3
v1,steady_state,run,1,0.448310,0.449115,0.453543,0.442272,0.453543,0.005678,0.448310,8621.35,667550.771836,13,1,1,4,52,3,3
v1,steady_state,write,1,4.296623,2.014007,8.867317,2.008544,8.867317,3.958338,4.296623,82627.36,667550.771836,13,1,1,4,52,3,3
v1,cold_start,combined,5,30798.911271,30798.911271,30798.911271,30798.911271,30798.911271,0.000000,6159.782254,118457351.04,667550.771836,13,1,1,4,52,3,3
v1,cold_start,load,5,1254.458838,1254.458838,1254.458838,1254.458838,1254.458838,0.000000,250.891768,4824841.68,667550.771836,13,1,1,4,52,3,3
v1,cold_start,run,5,2.359761,2.359761,2.359761,2.359761,2.359761,0.000000,0.471952,9076.00,667550.771836,13,1,1,4,52,3,3
v1,cold_start,write,5,10.560350,10.560350,10.560350,10.560350,10.560350,0.000000,2.112070,40616.73,667550.771836,13,1,1,4,52,3,3
v1,steady_state,combined,5,30200.929637,30479.844839,30547.394011,29575.550061,30547.394011,542.646693,6040.185927,116157421.68,667550.771836,13,1,1,4,52,3,3
v1,steady_state,load,5,1271.708711,1257.927345,1306.930306,1250.268483,1306.930306,30.742236,254.341742,4891187.35,667550.771836,13,1,1,4,52,3,3
v1,steady_state,run,5,2.285994,2.287726,2.305286,2.264969,2.305286,0.020214,0.457199,8792.28,667550.771836,13,1,1,4,52,3,3
v1,steady_state,write,5,10.354250,10.404113,10.411605,10.247031,10.411605,0.092930,2.070850,39824.04,667550.771836,13,1,1,4,52,3,3
v1,cold_start,combined,10,60939.933722,60939.933722,60939.933722,60939.933722,60939.933722,0.000000,6093.993372,117192180.23,667550.771836,13,1,1,4,52,3,3
v1,cold_start,load,10,2498.163328,2498.163328,2498.163328,2498.163328,2498.163328,0.000000,249.816333,4804160.25,667550.771836,13,1,1,4,52,3,3
v1,cold_start,run,10,4.714083,4.714083,4.714083,4.714083,4.714083,0.000000,0.471408,9065.54,667550.771836,13,1,1,4,52,3,3
v1,cold_start,write,10,20.602186,20.602186,20.602186,20.602186,20.602186,0.000000,2.060219,39619.59,667550.771836,13,1,1,4,52,3,3
v1,steady_state,combined,10,58895.162631,58979.606248,59022.312587,58683.569057,59022.312587,184.485333,5889.516263,113259928.14,667550.771836,13,1,1,4,52,3,3
v1,steady_state,load,10,2387.159402,2415.373088,2491.379286,2254.725832,2491.379286,120.823108,238.715940,4590691.16,667550.771836,13,1,1,4,52,3,3
v1,steady_state,run,10,4.273836,4.318242,4.486597,4.016668,4.486597,0.238091,0.427384,8218.91,667550.771836,13,1,1,4,52,3,3
v1,steady_state,write,10,19.530939,19.767306,20.349544,18.475968,20.349544,0.958892,1.953094,37559.50,667550.771836,13,1,1,4,52,3,3
v1,cold_start,combined,25,149551.755187,149551.755187,149551.755187,149551.755187,149551.755187,0.000000,5982.070207,115039811.68,667550.771836,13,1,1,4,52,3,3
v1,cold_start,load,25,6330.245061,6330.245061,6330.245061,6330.245061,6330.245061,0.000000,253.209802,4869419.28,667550.771836,13,1,1,4,52,3,3
